"","country","mean_gdp","se_gdp"
"72","Kuwait",65332.9104716667,9780.93119077383
"73","Lebanon",7269.21624125,505.616876605865
"74","Lesotho",780.553393191667,116.691996132557
"75","Liberia",604.814141233333,28.5754692340016
"76","Libya",12013.57920125,1878.93712833091
"77","Madagascar",1335.59502706667,86.8327789972973
"78","Malawi",575.447211508333,35.5070279348824
"79","Malaysia",5406.03819691667,1082.48476651315
"80","Mali",673.093069416667,53.2022950814341
"81","Mauritania",1356.67101066667,90.8319602317112
"82","Mauritius",4768.94222125,860.766754894182
"83","Mexico",7724.11267458333,799.864600056423
"84","Mongolia",1692.80461225,191.8961687564
"85","Montenegro",7208.06455975,822.422525904391
"86","Morocco",2447.90886408333,214.1867185708
"87","Mozambique",542.278331991667,37.2031279565899
"88","Myanmar",439.333333333333,50.6340604811433
"89","Namibia",3675.58208683333,190.084614878671
"90","Nepal",782.728822083333,53.5206580408453
"91","Netherlands",21748.8522081667,2574.65496158696
"92","New Zealand",17262.6228125,1272.771314857
"93","Nicaragua",3424.6557695,301.550673256607
"94","Niger",781.076798108333,49.5218965167422
"95","Nigeria",1488.30942916667,98.9467813660958
"96","Norway",26747.3065541667,3874.58242749896
"97","Oman",12138.5622273333,2208.7981150956
"98","Pakistan",1439.27068905,183.304354980582
"99","Panama",5754.82717183333,617.577357539146
"100","Paraguay",3239.60679141667,280.460314917051
"101","Peru",5613.84408675,305.031502192915
"102","Philippines",2174.77113041667,157.393753881693
"103","Poland",8416.55391225,923.284464465138
"104","Portugal",11354.0919274167,1796.29398469857
"105","Puerto Rico",10863.1643034167,1631.87422856578
"106","Reunion",4898.39839008333,445.519683901886
"107","Romania",7300.16997358333,700.318238594783
"108","Rwanda",675.669043141667,41.0582373045101
"109","Sao Tome and Principe",1382.782001175,91.1970281596194
"110","Saudi Arabia",20261.7436350833,2527.17397267021
"111","Senegal",1533.1216945,30.4261723890496
"112","Serbia",9305.04944408333,1105.59887144968
"113","Sierra Leone",1072.81949270833,80.298950040795
"114","Singapore",17425.3822666667,4308.80771768171
"115","Slovak Republic",10415.530689,1053.73087506113
"116","Slovenia",14074.5821093333,1867.81131973819
"117","Somalia",1140.79325165833,55.2171976720269
"118","South Africa",7247.43107441667,379.203060728222
"119","Spain",14029.82647875,2322.86331790533
"120","Sri Lanka",1854.7311195,269.821690035615
"121","Sudan",1835.01042975,92.8821728606497
"122","Swaziland",3163.35235825,334.850917721133
"123","Sweden",19943.126104,2229.50961052849
"124","Switzerland",27074.334405,1987.95072234231
"125","Syria",3009.28798066667,262.180578641576
"126","Taiwan",10224.80718075,2737.39322175941
"127","Tanzania",849.281271091667,33.4873744638153
"128","Thailand",3045.96647395833,671.429504745969
"129","Togo",1153.82011629167,81.0693806886025
"130","Trinidad and Tobago",7866.87194641667,1138.67130016668
"131","Tunisia",3477.21035075,519.568197457378
"132","Turkey",4469.45337966667,591.687349159743
"133","Uganda",810.383787908333,38.422920084336
"134","United Kingdom",19380.4729855833,2132.78656905367
"135","United States",26261.1513466667,2798.72220285653
"136","Uruguay",7100.13317566667,465.41915987802
"137","Venezuela",10088.5162515833,426.197331103174
"138","Vietnam",1017.71261516667,163.818015116065
"139","West Bank and Gaza",3759.99678125,495.609195212578
"140","Yemen Rep.",1569.27467214167,176.074269019733
"141","Zambia",1358.199409,71.4456477577884
"142","Zimbabwe",635.858042291667,38.5927514517566
